Time spent on Internet,Daily Internet Usage,Country,City,Area Income,Male/Female,Age of people who use website,Timestamp,Ad Topic Line,Clicked on Ad,,,
54.7,118.39,British Indian Ocean Territory (Chagos Archipelago),Jessicastad,31087.54,1,36,2016-02-13 7:53,Grass-roots solution-oriented conglomeration,1,,,
74.58,135.51,Russian Federation,Millertown,23821.72,1,40,2016-02-27 4:43,Advanced 24/7 productivity,1,,,
77.22,224.44,Cameroon,Port Jacqueline,64802.33,1,30,2016-01-05 7:52,Object-based reciprocal knowledgebase,0,,,
84.59,226.54,Cameroon,Lake Nicole,60015.57,1,35,2016-03-18 13:22,Streamlined non-volatile analyzer,0,,,
41.49,164.83,Burundi,South John,32635.7,0,52,2016-05-20 8:49,Mandatory disintermediate utilization,1,,,
87.29,209.93,Korea,Pamelamouth,61628.72,1,36,2016-03-23 9:43,Future-proofed methodical protocol,0,,,
41.39,167.22,Tokelau,Harperborough,68962.32,0,41,2016-06-13 17:27,Exclusive neutral parallelism,1,,,
78.74,204.79,Monaco,Port Danielleberg,64828,1,28,2016-05-27 15:25,Public-key foreground groupware,0,,,
48.53,134.14,Tuvalu,West Jeremyside,38067.08,1,28,2016-02-08 10:46,Ameliorated client-driven forecast,1,,,
51.95,129.23,Greece,South Cathyfurt,58295.82,0,52,2016-07-19 8:32,Monitored systematic hierarchy,1,,,
70.2,119.2,British Virgin Islands,Palmerside,32708.94,0,34,2016-04-14 5:08,Open-architected impactful productivity,1,,,
76.02,209.82,Bouvet Island (Bouvetoya),West Guybury,46179.97,0,22,2016-01-27 12:38,Business-focused value-added definition,0,,,
67.64,267.01,Peru,Phelpschester,51473.28,1,35,2016-07-02 20:23,Programmable asymmetric data-warehouse,0,,,
86.41,207.48,Aruba,Lake Melindamouth,45593.93,1,28,2016-03-01 22:13,Digitized static capability,0,,,
59.05,169.23,Maldives,North Richardburgh,25583.29,1,57,2016-07-15 5:05,Digitized global capability,1,,,
55.6,212.58,Senegal,Port Cassie,30227.98,0,23,2016-01-14 14:00,Multi-layered 4thgeneration knowledge user,1,,,
57.64,133.81,Dominica,New Thomas,45580.92,1,57,2016-03-15 3:12,Synchronized dedicated service-desk,1,,,
84.37,201.58,Luxembourg,Johnstad,61389.5,0,30,2016-04-12 3:26,Synchronized systemic hierarchy,0,,,
62.26,125.45,Montenegro,West Aprilport,56770.79,1,53,2016-04-07 15:18,Profound stable product,1,,,
65.82,221.94,Ukraine,Kellytown,76435.3,0,39,2016-02-09 5:28,Reactive demand-driven capacity,0,,,
50.43,119.32,Saint Helena,Charlesport,57425.87,1,46,2016-05-07 17:11,Persevering needs-based open architecture,1,,,
38.93,162.08,Liberia,Millerchester,27508.41,0,39,2016-03-11 6:49,Intuitive exuding service-desk,1,,,
84.98,202.61,Russian Federation,Mackenziemouth,57691.95,0,29,2016-04-27 9:27,Innovative user-facing extranet,0,,,
64.24,252.36,Tunisia,Zacharystad,59784.18,0,30,2016-04-16 11:53,Front-line intermediate database,0,,,
82.52,198.11,Turkmenistan,North Joshua,66572.39,1,32,2016-05-08 15:38,Persevering exuding system engine,0,,,
81.38,212.3,Saint Helena,Bowenview,64929.61,0,31,2016-02-08 0:23,Balanced dynamic application,0,,,
80.47,204.86,Niger,Jamesberg,57519.64,0,25,2016-02-11 13:26,Reduced global support,0,,,
37.68,172.83,Turkmenistan,Lake Cassandraport,53575.48,1,52,2016-02-17 13:16,Organic leadingedge secured line,1,,,
69.62,202.25,Qatar,New Sharon,50983.75,1,20,2016-02-26 22:46,Business-focused encompassing neural-net,0,,,
85.4,198.72,Sri Lanka,Johnport,67058.72,0,43,2016-06-08 18:54,Triple-buffered demand-driven alliance,0,,,
44.33,123.72,Trinidad and Tobago,Hamiltonfort,52723.34,1,37,2016-01-08 9:32,Visionary maximized process improvement,1,,,
48.01,119.93,Italy,West Christopher,54286.1,0,46,2016-04-25 11:01,Centralized 24/7 installation,1,,,
73.18,196.71,British Virgin Islands,Hollandberg,61526.25,1,23,2016-04-04 7:07,Organized static focus group,0,,,
79.94,225.29,United Kingdom,Odomville,58526.04,0,28,2016-05-03 21:19,Visionary reciprocal circuit,0,,,
33.33,193.58,Guinea-Bissau,East Samanthashire,53350.11,1,45,2016-01-17 9:31,Pre-emptive value-added workforce,1,,,
50.33,133.2,Micronesia,South Lauraton,62657.53,1,50,2016-03-02 4:57,Sharable analyzing alliance,1,,,
62.31,119.3,Turkey,Amandahaven,62722.57,0,47,2016-02-14 7:36,Team-oriented encompassing portal,1,,,
80.6,177.55,Croatia,Thomasview,67479.62,0,31,2016-04-07 3:56,Sharable bottom-line solution,0,,,
65.19,150.61,Israel,Garciaside,75254.88,0,36,2016-02-17 11:42,Cross-group regional website,1,,,
44.98,129.31,Svalbard & Jan Mayen Islands,Port Sarahshire,52336.64,0,49,2016-04-10 0:13,Organized global model,1,,,
77.63,239.22,Azerbaijan,Port Gregory,56113.37,0,29,2016-02-14 17:05,Upgradable asynchronous circuit,0,,,
41.82,156.36,Iran,Brendachester,24852.9,0,41,2016-05-26 22:49,Phased transitional instruction set,1,,,
85.61,183.43,Burundi,Lake Amy,47708.42,0,27,2016-04-30 8:07,Customer-focused empowering ability,0,,,
85.84,192.93,Saint Vincent and the Grenadines,Lake Annashire,64654.66,1,34,2016-06-15 5:30,Front-line heuristic data-warehouse,0,,,
72.08,169.5,Burundi,Smithburgh,71228.44,0,29,2016-03-09 14:45,Stand-alone national attitude,0,,,
86.06,178.92,Bulgaria,North Leonmouth,61601.05,1,32,2016-03-31 20:55,Focused upward-trending core,0,,,
45.96,141.22,Christmas Island,Robertfurt,66281.46,0,45,2016-06-03 0:55,Streamlined cohesive conglomeration,1,,,
62.42,198.5,Canada,Jasminefort,73910.9,1,29,2016-03-10 23:36,Upgradable optimizing toolset,0,,,
63.89,105.22,Rwanda,Jensenborough,51317.33,0,40,2016-01-08 0:17,Synchronized user-facing core,1,,,
35.33,200.22,Turks and Caicos Islands,Bradleyburgh,51510.18,0,32,2016-06-05 22:11,Organized client-driven alliance,1,,,
75.74,215.25,Tunisia,New Sheila,61005.87,1,25,2016-01-16 11:35,Ergonomic multi-state structure,0,,,
78.53,131.72,Norfolk Island,North Regina,32536.98,0,34,2016-04-22 20:10,Synergized multimedia emulation,1,,,
46.13,139.01,Bouvet Island (Bouvetoya),Davidmouth,60248.97,0,31,2016-02-01 9:00,Customer-focused optimizing moderator,1,,,
69.01,222.63,Turks and Caicos Islands,New Michaeltown,74543.81,0,46,2016-07-07 13:37,Advanced full-range migration,0,,,
55.35,153.17,Cook Islands,East Tammie,75509.61,1,39,2016-03-08 0:37,De-engineered object-oriented protocol,1,,,
33.21,167.07,Turkey,Wilcoxport,42650.32,1,43,2016-05-10 17:39,Polarized clear-thinking budgetary management,1,,,
38.46,145.98,Guatemala,East Michaelmouth,58183.04,1,42,2016-04-06 11:24,Customizable 6thgeneration knowledge user,1,,,
64.1,215.93,Cote d'Ivoire,East Tiffanyport,60465.72,0,22,2016-04-01 16:21,Seamless object-oriented structure,0,,,
49.81,120.06,Faroe Islands,Ramirezhaven,57009.76,1,35,2016-01-05 4:18,Seamless real-time array,1,,,
82.73,238.99,Qatar,Cranemouth,54541.56,1,33,2016-05-20 21:31,Grass-roots impactful system engine,0,,,
56.14,113.53,Ireland,Lake Edward,32689.04,1,38,2016-02-03 7:59,Devolved tangible approach,1,,,
55.13,111.71,Ukraine,Lake Conniefurt,55605.92,0,45,2016-02-17 21:55,Customizable executive software,1,,,
78.11,209.25,Moldova,East Shawnchester,63296.87,1,27,2016-01-30 16:10,Progressive analyzing attitude,0,,,
73.46,222.75,Nicaragua,West Joseph,65653.47,1,28,2016-05-15 14:41,Innovative executive encoding,0,,,
56.64,115.91,Montserrat,Lake Christopherfurt,61652.53,0,38,2016-01-05 17:56,Down-sized uniform info-mediaries,1,,,
68.94,138.71,Timor-Leste,East Tylershire,30726.26,0,54,2016-04-19 7:34,Streamlined next generation implementation,1,,,
70.79,184.1,Bouvet Island (Bouvetoya),Sharpberg,74535.94,0,31,2016-03-15 15:49,Distributed tertiary system engine,0,,,
57.76,105.15,Puerto Rico,Lake Dustin,47861.93,0,41,2016-06-12 15:25,Triple-buffered scalable groupware,1,,,
77.51,200.55,Central African Republic,North Kristine,73600.28,0,36,2016-07-01 4:41,Total 5thgeneration encoding,0,,,
52.7,118.6,Venezuela,Grahamberg,58543.94,1,34,2016-05-08 12:12,Integrated human-resource encoding,1,,,
57.7,109.07,Australia,New Tina,42696.67,0,34,2016-03-14 23:13,Phased dynamic customer loyalty,1,,,
56.89,109.29,Wallis and Futuna,Nelsonfurt,37334.78,1,37,2016-05-25 0:19,Open-source coherent policy,1,,,
69.9,138.35,Jersey,Christopherport,71392.53,0,43,2016-05-13 11:51,Down-sized modular intranet,1,,,
55.79,149.67,Puerto Rico,Port Sarahhaven,59550.05,0,24,2016-02-20 20:47,Pre-emptive content-based focus group,1,,,
70.03,227.72,Samoa,Bradleyborough,64264.25,1,26,2016-05-22 20:49,Versatile 4thgeneration system engine,0,,,
50.08,125.85,Greece,Whiteport,64147.86,1,40,2016-04-10 2:02,Ergonomic full-range time-frame,1,,,
43.67,166.29,Antarctica (the territory South of 60 deg S),New Theresa,25686.34,1,31,2016-02-28 6:41,Automated directional function,1,,,
72.84,238.63,Albania,Wongland,52968.22,0,26,2016-07-08 21:18,Progressive empowering alliance,0,,,
45.72,154.02,Hong Kong,Williammouth,22473.08,1,36,2016-04-19 15:14,Versatile homogeneous capacity,1,,,
39.94,156.3,Lithuania,Williamsborough,64927.19,0,41,2016-01-08 22:47,Function-based optimizing protocol,1,,,
35.61,158.22,Egypt,North Michael,51868.85,0,46,2016-03-28 8:46,Up-sized secondary software,1,,,
79.71,211.65,Bangladesh,Benjaminchester,69456.83,1,34,2016-07-02 14:57,Seamless holistic time-frame,0,,,
41.49,169.18,Western Sahara,Hernandezville,31947.65,0,53,2016-07-03 9:22,Persevering reciprocal firmware,1,,,
63.6,235.28,Serbia,Youngburgh,51864.77,1,23,2016-06-01 9:27,Centralized logistical secured line,0,,,
89.91,194.23,Maldives,Wallacechester,59593.56,0,40,2016-07-09 14:55,Innovative background conglomeration,0,,,
68.18,218.17,Czech Republic,Sanchezmouth,48376.14,1,21,2016-02-09 22:04,Switchable 3rdgeneration hub,0,,,
66.49,202.16,Guernsey,Bradshawborough,56884.74,0,20,2016-06-10 11:31,Polarized 6thgeneration info-mediaries,0,,,
80.49,229.12,Tanzania,Amyhaven,67186.54,1,40,2016-02-14 3:50,Balanced heuristic approach,0,,,
72.23,241.03,Bhutan,Marcushaven,46557.92,1,25,2016-07-05 17:17,Focused 24hour implementation,0,,,
42.39,150.99,Christmas Island,Erinton,66541.05,0,42,2016-04-28 5:50,De-engineered mobile infrastructure,1,,,
47.53,135.18,Guinea,Hughesport,33258.09,0,30,2016-04-03 5:10,Customer-focused upward-trending contingency,1,,,
74.02,210.54,Micronesia,Johnstad,72272.9,0,32,2016-03-09 14:57,Operative system-worthy protocol,0,,,
66.63,176.98,Madagascar,New Lucasburgh,60333.38,0,60,2016-01-16 23:37,User-friendly upward-trending intranet,1,,,
63.24,235.78,Lebanon,Michelleside,65229.13,1,53,2016-07-03 4:33,Future-proofed holistic superstructure,1,,,
71,211.87,Eritrea,Andersonton,56067.38,0,22,2016-03-14 6:46,Extended systemic policy,0,,,
46.13,123.64,Guyana,New Rachel,37838.72,1,46,2016-01-09 5:44,Horizontal hybrid challenge,1,,,
69,221.21,Trinidad and Tobago,Port Susan,72683.35,1,32,2016-02-11 4:37,Virtual composite model,0,,,
76.99,244.34,Jersey,West Angelabury,56729.78,1,31,2016-06-22 7:33,Switchable mobile framework,0,,,
72.6,162.95,United Arab Emirates,Port Christopherborough,66815.54,0,55,2016-07-13 16:12,Focused intangible moderator,1,,,
61.88,112.19,Martinique,Phillipsbury,60223.52,1,42,2016-07-23 11:46,Balanced actuating moderator,1,,,
84.45,207.18,Somalia,Millerside,29727.79,0,50,2016-07-13 4:10,Customer-focused transitional strategy,1,,,
88.97,152.49,Bhutan,Lake Jessica,49269.98,0,45,2016-06-11 18:32,Advanced web-enabled standardization,1,,,
86.19,210.26,Greece,Lopezmouth,57669.41,1,31,2016-05-08 12:51,Pre-emptive executive knowledgebase,0,,,
49.58,231.94,Benin,Johnsport,56791.75,0,26,2016-04-07 16:02,Self-enabling holistic process improvement,0,,,
77.65,212.79,Papua New Guinea,South Ronald,63274.88,0,27,2016-02-04 13:30,Horizontal client-driven hierarchy,0,,,
37.75,225.24,Uzbekistan,South Daniel,35466.8,0,36,2016-02-26 19:48,Polarized dynamic throughput,1,,,
62.33,127.11,South Africa,Suzannetown,68787.09,0,43,2016-06-21 13:15,Devolved zero administration intranet,1,,,
79.57,230.93,Egypt,Lisaberg,61227.59,0,31,2016-05-17 4:27,User-friendly asymmetric info-mediaries,0,,,
80.31,127.07,Hungary,Brianfurt,56366.88,0,44,2016-04-18 15:54,Cross-platform regional task-force,1,,,
89.05,206.98,Falkland Islands (Malvinas),Stewartbury,57868.44,0,45,2016-04-03 10:07,Polarized bandwidth-monitored moratorium,0,,,
70.41,223.03,Dominica,Benjaminchester,66618.21,0,27,2016-04-04 21:30,Centralized systematic knowledgebase,0,,,
67.36,233.56,Jersey,North Wesleychester,73104.47,0,37,2016-07-06 16:00,Future-proofed grid-enabled implementation,0,,,
46.98,175.37,Lithuania,East Michelleberg,21644.91,0,50,2016-05-04 9:00,Down-sized well-modulated archive,1,,,
41.67,132.55,Saint Martin,Port Eric,53817.02,0,36,2016-06-13 18:50,Realigned zero tolerance emulation,1,,,
51.24,176.73,Cuba,Timothyfurt,76368.31,0,36,2016-01-03 16:01,Versatile transitional monitoring,1,,,
75.7,215.44,United States Minor Outlying Islands,Port Jeffrey,67633.44,0,29,2016-01-14 0:23,Profound zero administration instruction set,0,,,
43.49,127.83,Belize,Guzmanland,50335.46,0,47,2016-01-12 10:07,User-centric intangible task-force,1,,,
49.89,160.03,Belize,East Michele,17709.98,1,39,2016-04-16 12:09,Enhanced system-worthy application,1,,,
38.37,140.46,Antarctica (the territory South of 60 deg S),East John,41229.16,0,36,2016-05-13 6:09,Multi-layered user-facing paradigm,1,,,
38.52,137.28,Saint Vincent and the Grenadines,Lesliebury,42581.23,1,38,2016-03-27 23:59,Customer-focused 24/7 concept,1,,,
71.89,172.81,Kuwait,Patriciahaven,61617.98,1,23,2016-02-03 23:47,Function-based transitional complexity,0,,,
75.8,146.19,Thailand,Ashleychester,70575.6,1,38,2016-04-18 11:23,Progressive clear-thinking open architecture,0,,,
83.86,190.25,Gibraltar,Lake Josetown,64122.36,0,31,2016-02-05 19:06,Up-sized executive moderator,0,,,
37.51,163,Holy See (Vatican City State),Debraburgh,52097.32,1,30,2016-03-21 18:46,Re-contextualized optimal service-desk,1,,,
55.6,124.38,Korea,New Debbiestad,65953.76,1,44,2016-06-14 11:59,Fully-configurable neutral open system,1,,,
83.67,234.26,Saint Helena,West Shaun,60192.72,1,44,2016-02-06 23:08,Upgradable system-worthy array,0,,,
69.08,210.6,Turks and Caicos Islands,Kimberlyhaven,77460.07,0,41,2016-03-12 1:39,Ergonomic client-driven application,0,,,
37.47,141.89,Czech Republic,Port Lawrence,45716.48,1,44,2016-01-26 3:56,Realigned content-based leverage,1,,,
56.04,128.95,Netherlands,West Ricardo,65120.86,1,49,2016-02-07 8:02,Decentralized real-time circuit,1,,,
70.92,108.16,Belarus,Lake Jose,49995.63,1,41,2016-05-05 7:58,Polarized modular function,1,,,
49.78,152.24,Dominica,Heatherberg,71718.51,0,46,2016-06-29 2:43,Enterprise-wide client-driven contingency,1,,,
68.61,150.29,South Africa,South George,61770.34,0,57,2016-04-10 19:48,Diverse modular interface,1,,,
58.18,176.28,New Zealand,Tinachester,69112.84,1,25,2016-02-10 6:37,Polarized analyzing concept,0,,,
78.54,172.1,Togo,Port Jodi,72524.86,0,35,2016-05-28 20:41,Multi-channeled asynchronous open system,0,,,
37,158.22,Kenya,Jonathantown,36782.38,1,48,2016-03-24 6:36,Function-based context-sensitive secured line,1,,,
65.4,247.31,Palau,Sylviaview,66699.12,0,33,2016-02-12 22:51,Adaptive 24hour Graphic Interface,0,,,
79.52,183.48,Timor-Leste,East Timothyport,64287.78,1,27,2016-06-10 10:11,Automated coherent flexibility,0,,,
87.98,222.11,Cambodia,West Roytown,56637.59,1,38,2016-03-31 10:44,Focused scalable complexity,0,,,
44.64,127.01,Belize,Codyburgh,55787.58,0,36,2016-02-14 6:51,Up-sized incremental encryption,1,,,
41.73,202.18,Cuba,Port Erikhaven,61142.33,1,28,2016-01-07 19:16,Sharable dedicated Graphic Interface,1,,,
80.46,207.96,Costa Rica,Port Chasemouth,61625.87,1,27,2016-02-04 2:13,Digitized zero administration paradigm,0,,,
75.55,159.24,Liechtenstein,Ramirezside,73234.87,0,36,2016-05-09 2:58,Managed grid-enabled standardization,1,,,
76.32,195.31,Korea,East Michaeltown,74166.24,1,35,2016-06-23 0:16,Networked foreground definition,0,,,
82.68,222.77,Ukraine,West Courtney,62669.59,1,33,2016-06-20 9:35,Re-engineered exuding frame,0,,,
72.01,251,Angola,West Michaelhaven,57756.89,0,31,2016-02-29 12:31,Horizontal multi-state interface,0,,,
75.83,162.44,Nauru,Walshhaven,58019.64,0,24,2016-01-17 15:10,Diverse stable circuit,0,,,
41.28,140.39,Equatorial Guinea,East Rachelview,50960.08,0,50,2016-01-29 3:54,Universal 24/7 implementation,1,,,
34.66,194.83,Mongolia,Curtisport,48246.6,0,32,2016-07-14 12:07,Customer-focused multi-tasking Internet solution,1,,,
66.18,143.42,Svalbard & Jan Mayen Islands,Frankbury,28271.84,0,55,2016-01-10 23:14,Vision-oriented contextually-based extranet,1,,,
86.06,219.72,Timor-Leste,Timothytown,53767.12,1,31,2016-04-28 18:34,Extended local methodology,0,,,
59.59,104.78,Brazil,Samanthaland,43662.1,1,42,2016-07-06 18:36,Re-engineered demand-driven capacity,1,,,
86.69,198.56,Chad,South Jennifer,62238.58,0,34,2016-05-27 6:19,Customer-focused attitude-oriented instruction set,0,,,
43.77,138.55,Portugal,Kyleborough,49030.03,1,52,2016-01-25 7:39,Synergized hybrid time-frame,1,,,
71.84,199.79,Malawi,North Randy,76003.47,1,47,2016-05-08 22:47,Advanced exuding conglomeration,0,,,
80.23,196.23,Qatar,South Daniellefort,68094.85,0,31,2016-03-19 14:23,Secured clear-thinking middleware,0,,,
74.41,163.05,Singapore,Dianashire,64395.85,0,26,2016-07-23 4:37,Right-sized value-added initiative,0,,,
63.36,137.43,Guinea,East Eric,70053.27,0,48,2016-06-23 1:22,Centralized tertiary pricing structure,1,,,
71.74,227.56,Kazakhstan,Hammondport,72423.97,0,35,2016-07-19 18:06,Multi-channeled reciprocal artificial intelligence,0,,,
60.72,105.69,Kuwait,Jacobstad,42995.8,0,44,2016-02-28 18:52,Synergized context-sensitive database,1,,,
72.04,199.43,Rwanda,Hernandezfort,60309.58,0,22,2016-02-10 6:52,Realigned systematic function,0,,,
44.57,133.17,China,Joneston,38349.78,1,31,2016-03-27 9:11,Adaptive context-sensitive application,1,,,
85.86,208.23,Bouvet Island (Bouvetoya),New Jeffreychester,63115.34,0,34,2016-05-23 2:15,Networked high-level structure,0,,,
39.85,145.96,Vietnam,East Stephen,31343.39,0,38,2016-01-03 3:22,Profit-focused dedicated utilization,1,,,
84.53,168.34,Guatemala,Turnerchester,40763.13,0,27,2016-01-04 21:48,Stand-alone tangible moderator,1,,,
62.95,157.04,Peru,Youngfort,36752.24,0,60,2016-05-24 13:30,Polarized tangible collaboration,1,,,
67.58,255.61,Mayotte,Ingramberg,65044.59,1,41,2016-02-01 19:42,Focused high-level conglomeration,0,,,
85.56,210.46,Samoa,South Denisefurt,53673.08,0,29,2016-06-05 13:16,Advanced modular Local Area Network,0,,,
46.88,136.64,Singapore,Port Melissaberg,43444.86,0,54,2016-02-04 8:53,Virtual scalable secured line,1,,,
46.31,153.98,Jamaica,Bernardton,44248.52,1,57,2016-03-24 13:37,Front-line fault-tolerant intranet,1,,,
77.95,233.65,Bahamas,Port Mathew,62572.88,1,31,2016-06-02 21:02,Inverse asymmetric instruction set,0,,,
84.73,153.76,Canada,Aliciatown,39840.55,0,30,2016-02-21 7:42,Synchronized leadingedge help-desk,1,,,
39.86,145.85,Algeria,Josephstad,32593.59,0,36,2016-06-26 17:16,Total 5thgeneration standardization,1,,,
50.08,123.91,Fiji,West Ericfurt,41629.86,0,30,2016-01-03 5:34,Sharable grid-enabled matrix,1,,,
60.23,106.86,Kenya,New Brendafurt,43313.73,0,35,2016-03-08 18:00,Balanced asynchronous hierarchy,1,,,
60.7,110.57,Argentina,Port Julie,42993.48,1,49,2016-06-19 3:19,Monitored object-oriented Graphic Interface,1,,,
43.67,143.79,Bouvet Island (Bouvetoya),South Tiffanyton,46004.31,1,53,2016-07-21 21:16,Cloned analyzing artificial intelligence,1,,,
77.2,254.05,Philippines,North Elizabeth,49325.48,1,33,2016-02-12 20:36,Persistent homogeneous framework,0,,,
71.86,116.53,Senegal,Kentmouth,51633.34,0,32,2016-05-17 6:14,Face-to-face even-keeled website,1,,,
44.78,137.24,Suriname,West Casey,63363.04,1,45,2016-07-09 11:04,Extended context-sensitive monitoring,1,,,
78.57,239.32,Liberia,East Henry,64045.93,1,36,2016-03-27 2:35,Exclusive client-driven model,0,,,
73.41,201.26,Guam,Hollyfurt,73049.3,1,31,2016-01-16 8:01,Profound executive flexibility,0,,,
77.05,191.14,United Arab Emirates,North Anna,66624.6,0,27,2016-01-21 23:48,Reduced bi-directional strategy,0,,,
66.4,214.42,Antigua and Barbuda,Port Destiny,77567.85,0,40,2016-06-05 0:29,Digitized heuristic solution,0,,,
69.35,252.77,Argentina,Ianmouth,53431.35,1,29,2016-02-13 15:37,Seamless 4thgeneration contingency,0,,,
35.65,172.58,Georgia,North Johntown,31265.75,1,40,2016-05-10 7:22,Seamless intangible secured line,1,,,
70.04,183.85,Jordan,Hannahside,74780.74,1,31,2016-03-27 3:59,Intuitive radical forecast,0,,,
69.78,218.79,Saudi Arabia,Wilsonburgh,70410.11,0,29,2016-05-24 18:35,Multi-layered non-volatile Graphical User Interface,0,,,
58.22,120.9,South Africa,North Russellborough,37345.24,0,29,2016-02-11 2:40,User-friendly client-server instruction set,1,,,
76.9,212.67,Croatia,Murphymouth,66107.84,0,28,2016-04-22 8:31,Synchronized multimedia model,0,,,
84.08,187.36,Fiji,Carterburgh,62336.39,1,30,2016-01-13 2:58,Face-to-face intermediate approach,0,,,
59.51,140.83,Australia,Penatown,39132.64,0,58,2016-06-16 2:01,Assimilated fault-tolerant hub,1,,,
40.15,134.88,Sao Tome and Principe,Joechester,38745.29,1,38,2016-06-27 18:37,Exclusive disintermediate task-force,1,,,
76.81,217.85,Fiji,East Paul,65172.22,1,28,2016-07-03 12:57,Managed zero tolerance concept,0,,,
41.89,163.38,Cyprus,Hartmanchester,68519.96,0,38,2016-02-03 4:21,Compatible systemic function,1,,,
76.87,235.35,Kyrgyz Republic,Mcdonaldfort,54774.77,1,27,2016-05-29 21:17,Configurable fault-tolerant monitoring,0,,,
67.28,155.8,Pakistan,North Mercedes,76246.96,1,43,2016-04-03 21:13,Future-proofed coherent hardware,1,,,
81.98,229.22,Seychelles,Taylorberg,65461.92,0,40,2016-04-15 11:51,Ameliorated upward-trending definition,0,,,
66.01,151.95,Samoa,Hansenmouth,34127.21,0,23,2016-06-21 3:14,Front-line tangible alliance,1,,,
61.57,125.94,Bulgaria,Bradyfurt,35253.98,1,53,2016-03-14 14:13,Progressive 24hour forecast,1,,,
53.3,111.94,Mauritania,West Jessicahaven,44893.71,0,34,2016-05-06 21:07,Self-enabling optimal initiative,1,,,
34.87,200.23,Czech Republic,Davilachester,59621.02,0,40,2016-06-12 17:52,Configurable logistical Graphical User Interface,1,,,
43.6,170.49,Chile,North Ricardotown,20856.54,0,38,2016-01-11 7:36,Virtual bandwidth-monitored initiative,1,,,
77.88,254.57,Poland,Melissafurt,55353.41,0,37,2016-07-02 0:24,Multi-tiered human-resource structure,0,,,
75.83,200.59,Estonia,East Brianberg,67516.07,0,27,2016-03-04 10:13,Managed upward-trending instruction set,0,,,
49.95,136.59,Turkmenistan,Millerbury,68737.75,0,39,2016-03-24 9:12,Cloned object-oriented benchmark,1,,,
60.94,154.97,Latvia,Garciaview,76893.84,0,41,2016-02-14 7:30,Fundamental fault-tolerant neural-net,1,,,
89.15,171.07,Fiji,Townsendfurt,59886.58,0,42,2016-04-25 7:30,Phased zero administration success,0,,,
78.7,133.99,Turkey,Williamstad,53441.69,0,30,2016-02-10 19:20,Compatible intangible customer loyalty,1,,,
57.35,119.84,Kazakhstan,West Connor,41356.31,0,29,2016-04-23 14:34,Distributed 3rdgeneration definition,1,,,
34.86,154.75,Bahrain,West Justin,49942.66,0,38,2016-06-18 17:56,Pre-emptive cohesive budgetary management,1,,,
70.68,199.08,Colombia,Robertbury,74430.08,0,31,2016-07-17 1:58,Configurable multi-state utilization,0,,,
76.06,201.04,Brunei Darussalam,New Tinamouth,58633.63,0,23,2016-04-27 4:28,Diverse multi-tasking parallelism,0,,,
66.67,228.03,Taiwan,Turnerview,72707.87,1,33,2016-04-21 20:29,Horizontal content-based synergy,0,,,
46.77,136.4,Serbia,Reneechester,31092.93,1,32,2016-03-23 6:00,Multi-tiered maximized archive,1,,,
62.42,143.94,Saint Pierre and Miquelon,West Tinashire,74445.18,0,38,2016-07-19 7:59,Diverse executive groupware,1,,,
